credit_note_id,id,amount,discount_amount,invoice_line_item,description,livemode,quantity,type,unit_amount,unit_amount_decimal,_fivetran_synced,unit_amount_excluding_tax,amount_excluding_tax
cn_1K606yFCPJnn9IgIT538a6FM,cnli_1K606yFCPJnn9IgIab92UPa4,500,,il_1K5fUNFCPJnn9IgIV6SoFNyT,1 × Bark (Monthly) (at $5.00 / month),True,1.0,invoice_line_item,500.0,500,2024-09-13 00:12:06.603000+00:00,500,500
cn_1KgEJDFCPJnn9IgI1YZJ0Or4,cnli_1KgEJDFCPJnn9IgIZn051UX1,1499,,il_1KYabJFCPJnn9IgIYei6K2YG,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1K9jFXFCPJnn9IgIhN2Nh1Vw,cnli_1K9jFXFCPJnn9IgItcJ4RUlr,1499,,il_1JzJYoFCPJnn9IgILYV1v8sW,1 × Subscription (Full Price) (at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.603000+00:00,1499,1499
cn_1JjnpFFCPJnn9IgIdABzrgmz,cnli_1JjnpFFCPJnn9IgIn49nVPxC,1499,,il_1JiNCVFCPJnn9IgIHs3KCDKN,1 × Subscription (Full Price) (at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.609000+00:00,1499,1499
cn_1Kpy7eFCPJnn9IgIZVTArVWv,cnli_1Kpy7eFCPJnn9IgI4aZQ7PBz,99,,il_1KpxM2FCPJnn9IgILzyxnZwm,Screen Protector (A32),True,,invoice_line_item,,,2024-09-13 00:12:06.597000+00:00,,99
cn_1KYylvFCPJnn9IgIQ6iE2GMe,cnli_1KYylvFCPJnn9IgI3zamJor5,1499,,il_1KYabDFCPJnn9IgIudsYOwI6,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1KoAKrFCPJnn9IgIP0Qao5VF,cnli_1KoAKrFCPJnn9IgI7dQiwBo4,1499,,il_1KdNNdFCPJnn9IgI5JZrVKvp,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1K606yFCPJnn9IgIT538a6FM,cnli_1K606yFCPJnn9IgICkyE9D9D,1499,,il_1K5fUNFCPJnn9IgIxhznA7ZM,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.603000+00:00,1499,1499
cn_1MAg9eFCPJnn9IgIN2XQW3sh,cnli_1MAg9eFCPJnn9IgICr3BT3kX,1499,,il_1MAftKFCPJnn9IgIBlrsmtYW,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.596000+00:00,1499,1499
cn_1OjY4UFCPJnn9IgIqMQ69iXx,cnli_1OjY4UFCPJnn9IgI8Olv2oY0,1499,,il_1Oj9inFCPJnn9IgI96x55Vwy,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.595000+00:00,1499,1499
cn_1KBOhzFCPJnn9IgIT0ZW5dE1,cnli_1KBOhzFCPJnn9IgIK2XEZLXr,1499,,il_1K1wCbFCPJnn9IgIrpnQLaa0,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.602000+00:00,1499,1499
cn_1Kpy7eFCPJnn9IgIZVTArVWv,cnli_1Kpy7eFCPJnn9IgIzNwY2Qpb,3290,,il_1KpxM2FCPJnn9IgIlBo4RVow,Plus (A32),True,,invoice_line_item,,,2024-09-13 00:12:06.597000+00:00,,3290
cn_1MAgw5FCPJnn9IgImVcF6BtC,cnli_1MAgw5FCPJnn9IgIJHgKGhxC,1499,,il_1MAgfYFCPJnn9IgIDErGfuzi,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.596000+00:00,1499,1499
cn_1JrmSsFCPJnn9IgIRDdXWbmZ,cnli_1JrmSsFCPJnn9IgIQgr8c4X2,4000,,il_1JrmRiFCPJnn9IgIp6m8vTl5,Replacement (X8) (Yellow),True,,invoice_line_item,,,2024-09-13 00:12:06.603000+00:00,,4000
cn_1KJOP2FCPJnn9IgIW5raRno4,cnli_1KJOP2FCPJnn9IgIuU1CO1O3,1499,,il_1KGtqYFCPJnn9IgIfcuZEdDw,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1Kpy7eFCPJnn9IgIZVTArVWv,cnli_1Kpy7eFCPJnn9IgIOgf7wezt,199,,il_1KpxM2FCPJnn9IgIHLUFiMR7,Guardian Case (A32) (Mint),True,,invoice_line_item,,,2024-09-13 00:12:06.597000+00:00,,199
cn_1K7jqoFCPJnn9IgIdB89RBZm,cnli_1K7jqoFCPJnn9IgI0ZxyxVxh,1499,,il_1K1wDzFCPJnn9IgIoQNNkSfZ,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.603000+00:00,1499,1499
cn_1KYylCFCPJnn9IgIkbiMElnu,cnli_1KYylCFCPJnn9IgIVwgCCjcY,1499,,il_1KYabbFCPJnn9IgIuU06I5O7,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1P1DjiFCPJnn9IgIyFW44hNk,cnli_1P1DjiFCPJnn9IgIsrF0vuDn,500,,il_1P0SJ5FCPJnn9IgIh4uzeQfo,1 × Bark (Monthly) (at $5.00 / month),True,1.0,invoice_line_item,500.0,500,2024-09-13 00:12:06.595000+00:00,500,500
cn_1KJOP2FCPJnn9IgIW5raRno4,cnli_1KJOP2FCPJnn9IgI0qEuuUvh,499,,il_1KGtqZFCPJnn9IgI9Dv25k2F,1 × Subscription (Monthly) (Tier 2 at $4.99 / month),True,1.0,invoice_line_item,499.0,499,2024-09-13 00:12:06.597000+00:00,499,499
cn_1JsdmAFCPJnn9IgIfB9djIdH,cnli_1JsdmAFCPJnn9IgIpsu91SqQ,1499,,il_1Jr3sRFCPJnn9IgIpx3pksrG,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.603000+00:00,1499,1499
cn_1Ko9smFCPJnn9IgIMw7mOHjj,cnli_1Ko9smFCPJnn9IgIUHB84RkC,1499,,il_1Ki9yLFCPJnn9IgIJbV59R7t,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1QFLATFCPJnn9IgIiUMU6Srb,cnli_1QFLATFCPJnn9IgIhwEqQTuF,50000,,il_1QFL6ZFCPJnn9IgIrlvXVlTp,Pixel 8A Pack,True,,invoice_line_item,,,2024-10-30 13:26:24.687000+00:00,,50000
cn_1JboOoFCPJnn9IgIEulCcvRR,cnli_1JboOoFCPJnn9IgIJAwDIW29,1499,,il_1JUwntFCPJnn9IgIBfSW6jBL,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.609000+00:00,1499,1499
cn_1Jfqv2FCPJnn9IgIBOuf808U,cnli_1Jfqv2FCPJnn9IgIdb4pr4bL,1499,,il_1Jfp67FCPJnn9IgImMXND8lB,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.609000+00:00,1499,1499
cn_1KtYfZFCPJnn9IgI3hR1TjUH,cnli_1KtYfZFCPJnn9IgICQy89vq3,500,,il_1KpKwOFCPJnn9IgITmj4ARF7,1 × Bark (Monthly) (at $5.00 / month),True,1.0,invoice_line_item,500.0,500,2024-09-13 00:12:06.596000+00:00,500,500
cn_1KBnhnFCPJnn9IgI60HnPlyd,cnli_1KBnhnFCPJnn9IgIFEUnJL7N,1499,,il_1K1wEGFCPJnn9IgIdAUHUEiC,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.602000+00:00,1499,1499
cn_1K60ODFCPJnn9IgIr88xv6M0,cnli_1K60ODFCPJnn9IgIdLDhIo93,499,,il_1K5fUQFCPJnn9IgIPD9U0xjD,1 × Subscription (Monthly) (Tier 2 at $4.99 / month),True,1.0,invoice_line_item,499.0,499,2024-09-13 00:12:06.603000+00:00,499,499
cn_1PJjguFCPJnn9IgIipmzdPHe,cnli_1PJjguFCPJnn9IgI3KwD7zi6,1499,,il_1PIcPnFCPJnn9IgIUb2BOtnu,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.595000+00:00,1499,1499
cn_1K60ODFCPJnn9IgIr88xv6M0,cnli_1K60ODFCPJnn9IgIXlU57v48,1499,,il_1K5fUPFCPJnn9IgIsLC4dVW1,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.603000+00:00,1499,1499
cn_1KtYfZFCPJnn9IgI3hR1TjUH,cnli_1KtYfZFCPJnn9IgIwiyBSeVR,1499,,il_1KpKwOFCPJnn9IgI1VYIbmxG,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.596000+00:00,1499,1499
cn_1KYzcVFCPJnn9IgIIiEhbcds,cnli_1KYzcVFCPJnn9IgIC0GNmIEk,1499,,il_1KYabJFCPJnn9IgIqGDgbVjj,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1QLARaFCPJnn9IgI1VVr5gHJ,cnli_1QLARaFCPJnn9IgIdTHuRWJu,14900,,il_1QLAPrFCPJnn9IgIQBwvyHDP,Slim 6,True,,invoice_line_item,,,2024-11-18 16:12:42.842000+00:00,,14900
cn_1QlxOOFCPJnn9IgIJJNZM62q,cnli_1QlxOOFCPJnn9IgIjS2JfF1C,1499,,il_1QikazFCPJnn9IgImYHcUFP5,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2025-01-28 00:32:03.631000+00:00,1499,1499
cn_1RRkzfFCPJnn9IgIO7TP2iZ4,cnli_1RRkzfFCPJnn9IgIJHGWamO7,5900,,il_1RRekCFCPJnn9IgIJArBZ48O,Genesis 2 (Pre-Owned) (Blue),True,1.0,invoice_line_item,5900.0,5900,2025-05-24 00:32:29.712000+00:00,5900,5900
cn_1RdDvqFCPJnn9IgIsJoX0eWc,cnli_1RdDvqFCPJnn9IgIQz0DKqOd,1499,,il_1RdDqdFCPJnn9IgIqPzG98DH,1 × Pinwheel Subscription (Watch) (at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2025-06-24 00:32:09.667000+00:00,1499,1499
cn_1RdDvqFCPJnn9IgIsJoX0eWc,cnli_1RdDvqFCPJnn9IgIl7cGeRfM,51,,il_1RdDqeFCPJnn9IgIcM4pqCIa,State And Local Sales Tax,True,1.0,invoice_line_item,51.0,51,2025-06-24 00:32:09.667000+00:00,47,47
cn_1RdDvqFCPJnn9IgIsJoX0eWc,cnli_1RdDvqFCPJnn9IgIgBTt3dXS,1,,il_1RdDqiFCPJnn9IgIJv141xwQ,State Franchise Tax,True,1.0,invoice_line_item,1.0,1,2025-06-24 00:32:09.667000+00:00,1,1
cn_1RdDvqFCPJnn9IgIsJoX0eWc,cnli_1RdDvqFCPJnn9IgI5kNoXGjf,12900,,il_1RdDqdFCPJnn9IgI0hONDQIM,Pinwheel Watch,True,1.0,invoice_line_item,12900.0,12900,2025-06-24 00:32:09.667000+00:00,12900,12900
cn_1RdDvqFCPJnn9IgIsJoX0eWc,cnli_1RdDvqFCPJnn9IgI1RK4TPI1,1,,il_1RdDqhFCPJnn9IgIsobT0upe,Federal Communications Commission Regulatory Fee,True,1.0,invoice_line_item,1.0,1,2025-06-24 00:32:09.667000+00:00,1,1
cn_1RdDvqFCPJnn9IgIsJoX0eWc,cnli_1RdDvqFCPJnn9IgIGRgMZRqq,22,,il_1RdDqfFCPJnn9IgIFhj7sMB2,Federal Universal Service Fund,True,1.0,invoice_line_item,22.0,22,2025-06-24 00:32:09.667000+00:00,20,20
cn_1RdDvqFCPJnn9IgIsJoX0eWc,cnli_1RdDvqFCPJnn9IgIK1m2NaYO,3,,il_1RdDqgFCPJnn9IgIRd3kpCEr,Federal TRS Fund,True,1.0,invoice_line_item,3.0,3,2025-06-24 00:32:09.667000+00:00,3,3
cn_1Rv1VTFCPJnn9IgIQaGZhlY6,cnli_1Rv1VTFCPJnn9IgIIeX1Gd5M,17900,,il_1RuFQ0FCPJnn9IgIn1n3wSpJ,Plus 5,True,1.0,invoice_line_item,17900.0,17900,2025-08-12 00:32:42.091000+00:00,17900,17900
cn_1Rv1VTFCPJnn9IgIQaGZhlY6,cnli_1Rv1VTFCPJnn9IgIYNKNEZW2,17499,,il_1RuFQ0FCPJnn9IgInu5PhZ6p,1 × Pinwheel Subscription (at $174.99 / year),True,1.0,invoice_line_item,17499.0,17499,2025-08-12 00:32:42.091000+00:00,17499,17499
cn_1Rv1VTFCPJnn9IgIQaGZhlY6,cnli_1Rv1VTFCPJnn9IgIqqKVipIk,4000,,il_1RuFQ2FCPJnn9IgI4HZE6aP6,Express [Shipping],True,1.0,invoice_line_item,4000.0,4000,2025-08-12 00:32:42.091000+00:00,4000,4000
cn_1Rv1VTFCPJnn9IgIQaGZhlY6,cnli_1Rv1VTFCPJnn9IgI7kNWoELF,1199,,il_1RuFQ1FCPJnn9IgIZiqAqlT0,Screen Protector - Plus 5,True,1.0,invoice_line_item,1199.0,1199,2025-08-12 00:32:42.091000+00:00,1199,1199
cn_1Jn34mFCPJnn9IgIq6j5jXB7,cnli_1Jn34mFCPJnn9IgI09G3I9DZ,500,,il_1JemILFCPJnn9IgIlvmn8PZk,1 × Bark (Monthly) (at $5.00 / month),True,1.0,invoice_line_item,500.0,500,2024-09-13 00:12:06.608000+00:00,500,500
cn_1KEvhWFCPJnn9IgIIPi42xRT,cnli_1KEvhWFCPJnn9IgI4LYMjSn7,500,,il_1KDAxTFCPJnn9IgIqbTmBoyO,1 × Bark (Monthly) (at $5.00 / month),True,1.0,invoice_line_item,500.0,500,2024-09-13 00:12:06.602000+00:00,500,500
cn_1KTCvMFCPJnn9IgI8oGjO8M6,cnli_1KTCvMFCPJnn9IgIQ7dz5H5n,1499,,il_1KS2KiFCPJnn9IgIOzCxxI3r,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.597000+00:00,1499,1499
cn_1KF1COFCPJnn9IgIhCsvdHsF,cnli_1KF1COFCPJnn9IgIyMRQYqgs,1499,,il_1KDAx9FCPJnn9IgIXzqYYBl2,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,1.0,invoice_line_item,1499.0,1499,2024-09-13 00:12:06.602000+00:00,1499,1499
