asin,type,condition,fullfillment_channel,offer_count,_fivetran_synced
B0BKR4XZGJ,buy_box_offer,new,,1,2023-07-06 14:32:42.404000+00:00
B0BKRXGT52,buy_box_offer,new,,1,2023-07-06 14:33:53.266000+00:00
B0BKR3VM44,buy_box_offer,new,,1,2023-07-06 14:32:42.741000+00:00
B0BKR4YKB2,offers,new,,1,2023-07-06 14:32:42.053000+00:00
B0BKR4XZGJ,offers,new,,1,2023-07-06 14:32:42.404000+00:00
B0BKRXGT52,offers,new,,1,2023-07-06 14:33:53.266000+00:00
B0BKR4YKB2,buy_box_offer,new,,1,2023-07-06 14:32:42.053000+00:00
B0BKR3VM44,offers,new,,1,2023-07-06 14:32:42.741000+00:00
