checkout_session_id,payment_method_type,_fivetran_synced
cs_live_a10VV50U2fWRMQknTsctUTwelJ6GpNdBCJitc2Na5HdOum08K076A9YloS,affirm,2024-08-14 00:54:28.285000+00:00
cs_live_a10WC0H5f7uXMzzaKDb0ZldQFCjV6VsaUlcmSkwSKbudt7aHyeI3G1LrB4,card,2024-08-14 00:50:00.314000+00:00
cs_live_a10WFx6Q3WkYm1BHJmQ2GOyjcHFXQKiR2GvabGpUb1dBSTrtifojVYqZxz,affirm,2024-08-14 01:00:28.119000+00:00
cs_live_a10X8Z2hVw1Qdodr76Io5021qpn5j9ECD6gHwov0PfgS0PpBrtfJRe8Evu,affirm,2024-08-14 00:54:37.182000+00:00
cs_live_a10XhkPecURFY4NGyr2qAfEKro0k71qT1Z5ejIsLoTXWpPDHEjc6anPNxa,affirm,2024-08-14 00:50:00.313000+00:00
cs_live_a10Zb7eHXsVHM5AAskDAsAJ29mcKcTBf43hx0duPG1dpgWT4i6y2ut0UTY,affirm,2024-08-14 00:43:06.546000+00:00
cs_live_a10Zxo1FSS8OVst9KMitwVoyxtbWOtCeZG2BEaEyONG76Cl12rpxJ78fkC,card,2024-08-14 00:49:44.502000+00:00
cs_live_a10dUocejfyyNsRVAiMUXDQcr1GSfMRGDgFqTSDjAKtxtn5gojvDa1uGtK,card,2024-08-14 00:56:43.869000+00:00
cs_live_a10esnLiDJaXpj5u0i3KgyjBhzMDJNqgKYwMqurMTI83orYlF2BOGNhaY5,affirm,2024-08-14 00:51:37.308000+00:00
cs_live_a10fToZM5ScRaN3IlKVIruMDWUPmQSB7BogOhLyFAZ1hQKTmP9obtWDBGo,affirm,2024-08-14 00:53:44.756000+00:00
cs_live_a10fUcWHHl0fFYVN9XgrfdTZqSgOp0k4byThdIPdwKKcL0dO24PD2Tu2Wm,card,2024-08-14 00:54:03.782000+00:00
cs_live_a10fVJHGlFaAAYvavsmQUNoc5aotYaKxXryXghoHGBSYBmYwePIIZx2QnA,affirm,2024-08-14 00:56:17.573000+00:00
cs_live_a10g9lODFLn1MovGit305pHrQ6F0WwpL7oDrxljkUy0QdMJQLhxE6bnMrj,affirm,2024-08-14 00:45:15.796000+00:00
cs_live_a10hx5H40wxPte04BwBjjB8GlVMMI3aPd32Zkypx4PkeK3uaB1ZSOVoZQe,card,2024-08-14 00:57:39.897000+00:00
cs_live_a10isB2NJWOtuEYOut4qWu23EJoHJkXhZ5oLvYwNy00ahZkLtiQgQ0CSgK,card,2024-08-14 01:00:22.702000+00:00
cs_live_a10kLpSkRXLKLvlMW7LlQhDi4qPbMgV8fLJx3wVBaxVsycCu0InTKTc2O0,card,2024-08-14 00:53:17.781000+00:00
cs_live_a10kMJDT7ZIWeNjj5v3rNX2EEAv0awrIaNZiCh1CEiZDRvHYewaCr70OaA,card,2024-08-14 00:51:50.125000+00:00
cs_live_a10kWiQvpr3rUV2jNaHclStNeMwexAHEVrh3kKMO9ihWr20CGCh4EaCnPm,affirm,2024-08-14 00:57:43.595000+00:00
cs_live_a10lebKykj2aoaR9SQ5csm6JUK5xGzuzk5t4FKUblAjrDE8slbdd4G0qGP,affirm,2024-08-14 00:53:01.682000+00:00
cs_live_a10ljAROpc1Jeq9F1QJE8TqsH1wZSHPaRbOhK84y0cnxeWwKIsLVy3aE10,card,2024-08-14 00:56:49.171000+00:00
cs_live_a10nJ93q50S6NllDaX8KMirzslVz4Ymq15CTWpakFT6CITlF4HGJC7SEnl,card,2024-08-14 00:52:58.403000+00:00
cs_live_a10nSH1zQWKwyqwslOexh4qf8X20r5RFTH8RwMXi76CYSyER59yKEnxdI5,card,2024-08-14 00:45:04.306000+00:00
cs_live_a10nuYtl5aeIiYfXvR6zKUOSNLSoVHMFmbtwoMV6eq5bidsTp1xBBFhWIZ,affirm,2024-08-14 00:44:46.039000+00:00
cs_live_a10oBmyKHXl81NgOHsj5W2cEkdbLdP7ZlERCnenWHStH21qngmt096H2D0,card,2024-08-14 00:59:13.763000+00:00
cs_live_a10ofBWoY0cBKkS8SYF6D0RUy31S38LQGdCiHoJNZPWs6g5f2PjxHT474B,card,2024-08-14 00:57:22.142000+00:00
