calendar_date,children_id,app_id,usage_count,total_time_foreground,total_time_visible
2023-11-23,0012e448-ebb2-4fd8-a533-08a7e4ac0701,com.pinwheel.messenger,1.0,15.0,15.0
2023-11-23,0018410a-0af8-47ce-888a-2cafb20f9c27,com.pinwheel.messenger,1.0,6.0,6.0
2023-11-23,001c61c9-2bb5-4db2-b0fa-f6274c186bda,com.facebook.talk,1.0,0.0,0.0
2023-11-23,001c61c9-2bb5-4db2-b0fa-f6274c186bda,com.pinwheel.messenger,1.0,16.0,16.0
2023-11-23,001c61c9-2bb5-4db2-b0fa-f6274c186bda,fi.reworks.redecor,1.0,306.0,306.0
2023-11-23,001d59e9-17d7-4fc0-88db-25889d734a76,com.life360.android.safetymapd,1.0,0.0,0.0
2023-11-23,001d59e9-17d7-4fc0-88db-25889d734a76,com.samsung.android.lool,1.0,0.0,0.0
2023-11-23,001d59e9-17d7-4fc0-88db-25889d734a76,com.wssyncmldm,1.0,0.0,0.0
2023-11-23,002de249-51df-44f2-b5a6-ced06504fd4f,com.pinwheel.desktop,1.0,2.0,3.0
2023-11-23,0030608c-716b-4adf-8984-4429350df18b,com.amazon.mp3,1.0,7.0,7.0
2023-11-23,0030608c-716b-4adf-8984-4429350df18b,com.mediatek.camera,1.0,0.0,0.0
2023-11-23,0030608c-716b-4adf-8984-4429350df18b,com.supercell.clashmini,1.0,60.0,60.0
2023-11-23,00364078-dfef-4ea6-ac29-9d4dbfda527f,com.android.settings,1.0,0.0,0.0
2023-11-23,00364078-dfef-4ea6-ac29-9d4dbfda527f,com.pinwheel.messenger,1.0,43.0,43.0
2023-11-23,0039673c-3f02-4bfd-b18d-7f8ac4a756b8,com.nike.omega,1.0,13.0,13.0
2023-11-23,0039673c-3f02-4bfd-b18d-7f8ac4a756b8,com.samsung.android.video,1.0,1.0,1.0
2023-11-23,003dc9da-8e9a-4eab-b931-b789d43d7ae4,com.amazon.dee.app,1.0,2.0,2.0
2023-11-23,003dc9da-8e9a-4eab-b931-b789d43d7ae4,com.pinwheel.desktop,1.0,3.0,4.0
2023-11-23,0042dfa8-5d7c-4ffd-88cc-be77415f5378,android,1.0,0.0,0.0
2023-11-23,0042dfa8-5d7c-4ffd-88cc-be77415f5378,com.pinwheel.contacts2,1.0,2.0,2.0
2023-11-23,0042dfa8-5d7c-4ffd-88cc-be77415f5378,com.sec.android.gallery3d,1.0,2.0,2.0
2023-11-23,004841a7-0976-4f94-8804-fd2281633687,com.newstargames.retrobowl,1.0,4.0,4.0
