field_id,form_id,id,ref,label,attachment_type,attachment_href,attachment_property_description,_fivetran_synced,_fivetran_start,_fivetran_end,_fivetran_active
NqXN53Yc8Meh,fvZ2fdz9,AwyTmN3rtGzo,f563290a-d99c-4842-9484-0f308686c166,"No, it's a general request.",,,,2023-05-09 15:57:52.825000+00:00,2021-06-04 22:32:02.167000+00:00,9999-12-31 23:59:59.999000+00:00,True
Scyd2yidsemE,CeKmJj5Q,dUXkiUzTqnFH,c84eaa09-be42-47d3-9d5b-7156c6d84b30,Probably No Violence,,,,2023-05-09 15:55:58.705000+00:00,2022-10-18 17:36:56.171000+00:00,9999-12-31 23:59:59.999000+00:00,True
5tXsxIxJiBsz,Jr3UXdoc,88afgiIKxxUL,2c779853-1823-4cf3-b4e8-a692656ebc28,5,,,,2023-05-09 15:55:59.072000+00:00,2022-11-01 19:12:29.276000+00:00,9999-12-31 23:59:59.999000+00:00,True
e9AiN0g58JfE,TlsjoIys,IYSeV96vHQ6u,bae53e66-9cd6-4099-ab5f-2bcc72224a62,5,,,,2023-05-09 15:55:23.790000+00:00,2023-04-21 19:05:33.918000+00:00,9999-12-31 23:59:59.999000+00:00,True
6qI5pzFlBYun,qd1BXBHF,gIvLie6TBXmy,fe8ad011-11a0-4539-af0c-45f98cf61e08,3,,,,2023-05-09 15:55:43.366000+00:00,2023-01-05 17:17:58.643000+00:00,9999-12-31 23:59:59.999000+00:00,True
o8dzcLe0X8MT,wzxbYq72,psh7GnVFptjq,59cd3dbb-6c9e-4b0a-9350-a802689b9c4a,Allows Anonymous Communication,,,,2023-05-09 15:56:45.092000+00:00,2021-11-08 18:00:33.616000+00:00,9999-12-31 23:59:59.999000+00:00,True
4wdzOwq6NXRm,kpF10uRx,p2J5qrJLQcbe,82cc1fae-d7b6-4a01-8f04-1a6ff6064b22,5,,,,2023-05-09 15:55:40.978000+00:00,2023-01-06 17:34:41.531000+00:00,9999-12-31 23:59:59.999000+00:00,True
c8HymtybjBjF,GvORz64M,cskLAM6jq7eb,df26a4d5-5ad4-4858-b088-d2dfcf309a84,Definitely yes,,,,2023-05-09 15:55:51.666000+00:00,2022-10-31 21:24:51.163000+00:00,9999-12-31 23:59:59.999000+00:00,True
6mAmsOwQ15Oa,qVTFVRU8,7RSSQaf4CGjC,f00fa732-f913-42e1-8ce0-e28f4a911e22,16<,,,,2023-05-09 15:56:07.251000+00:00,2022-06-25 19:03:31.223000+00:00,9999-12-31 23:59:59.999000+00:00,True
vZcGAlJLAcFx,vgBnsZ5t,gMSyOYlhTLit,52ebff56-d596-46d5-8d1a-3e0535cf9ee6,Never,,,,2023-05-09 15:57:40.255000+00:00,2021-04-13 19:03:18.853000+00:00,9999-12-31 23:59:59.999000+00:00,True
