id,active,created,description,display_name,inclusive,jurisdiction,livemode,metadata,percentage,_fivetran_synced
txr_1Pi3wDFCPJnn9IgIx6wK7cOd,False,2024-07-30 00:29:13+00:00,,Sales Tax,False,Alabama,True,{},6.0,2025-08-10 00:33:38.343000+00:00
txr_1RLXOkFCPJnn9IgIiY5slkrA,False,2025-05-05 22:22:06+00:00,,Sales Tax,True,New York,True,{},8.125,2025-08-10 00:31:32.219000+00:00
txr_1RWQzCFCPJnn9IgItl8RbkRY,False,2025-06-04 23:44:46+00:00,,Sales Tax,False,Alabama,True,{},6.5,2025-08-10 00:31:31.265000+00:00
txr_1N8NQdFCPJnn9IgI4zUE5kII,False,2023-05-16 12:56:35+00:00,,Sales Tax,False,North Dakota,True,{},5.0,2025-08-10 00:33:25.114000+00:00
txr_1N5xsyFCPJnn9IgIJSE2JdoO,False,2023-05-09 21:15:52+00:00,,Sales Tax,False,Oklahoma,True,{},9.0,2025-08-10 00:33:30.622000+00:00
txr_1NDvKwFCPJnn9IgIZPe6gq9h,False,2023-05-31 20:09:38+00:00,,Sales Tax,False,Colorado,True,{},6.5,2025-08-10 00:33:24.417000+00:00
txr_1N6FZAFCPJnn9IgIwLgynKeS,False,2023-05-10 16:08:36+00:00,,Sales Tax,False,California,True,{},9.25,2025-08-10 00:31:08.311000+00:00
txr_1Ru1xMFCPJnn9IgIEFyLVUjT,False,2025-08-09 01:52:24+00:00,,Sales Tax,True,Alabama,True,{},4.0,2025-08-10 00:33:24.748000+00:00
txr_1N8olgFCPJnn9IgIgyO4fyhl,False,2023-05-17 18:08:08+00:00,,Sales Tax,False,Alaska,True,{},8.0,2025-08-11 00:31:11.326000+00:00
txr_1N6lebFCPJnn9IgINU15ipjA,False,2023-05-12 02:24:21+00:00,,Sales Tax,False,Oklahoma,True,{},8.517,2025-08-11 00:33:24.856000+00:00
txr_1RJZYEFCPJnn9IgI0QgrPQxf,False,2025-04-30 12:15:46+00:00,,Sales Tax,True,Arkansas,True,{},9.5,2025-08-11 00:33:30.284000+00:00
txr_1OnZoAFCPJnn9IgIGZDhuntL,False,2024-02-25 04:59:26+00:00,,Sales Tax,False,Alabama,True,{},5.5,2025-08-11 00:33:40.175000+00:00
txr_1RPqiEFCPJnn9IgIdBoH6edE,False,2025-05-17 19:48:02+00:00,,Sales Tax,True,Illinois,True,{},7.0,2025-08-11 00:31:01.944000+00:00
txr_1N61EoFCPJnn9IgIUrUEXB5g,False,2023-05-10 00:50:38+00:00,,Sales Tax,False,Illinois,True,{},9.25,2025-08-11 00:33:29.876000+00:00
txr_1NGTRJFCPJnn9IgImzMoVIT2,False,2023-06-07 20:58:45+00:00,,Sales Tax,False,California,True,{},9.0,2025-08-11 00:33:29.432000+00:00
txr_1NAoFkFCPJnn9IgIKjuGA1ga,False,2023-05-23 05:59:24+00:00,,Sales Tax,False,Nevada,True,{},7.6,2025-08-11 00:33:27.735000+00:00
txr_1QcVM7FCPJnn9IgICLRPXBij,False,2025-01-01 17:05:15+00:00,,Sales Tax,False,New Mexico,True,{},6.4975,2025-08-11 00:30:47.911000+00:00
txr_1N8lJqFCPJnn9IgI2foPUSUF,False,2023-05-17 14:27:10+00:00,,Sales Tax,False,Colorado,True,{},6.9,2025-08-11 00:30:53.057000+00:00
txr_1QeoyrFCPJnn9IgIfnPbiZhL,False,2025-01-08 02:26:49+00:00,,Sales Tax,False,Louisiana,True,{},9.75,2025-08-11 00:31:22.276000+00:00
txr_1RrS5PFCPJnn9IgIFDJrWj6h,False,2025-08-01 23:10:03+00:00,,Sales Tax,True,Ohio,True,{},7.8,2025-08-11 00:33:27.561000+00:00
txr_1RfsyuFCPJnn9IgI1ix3hLaN,False,2025-07-01 01:27:32+00:00,,Sales Tax,False,Arizona,True,{},8.0,2025-08-11 00:33:27.225000+00:00
txr_1N6jPOFCPJnn9IgIIchulmRs,False,2023-05-12 00:00:30+00:00,,Sales Tax,False,Illinois,True,{},7.5,2025-08-11 00:33:30.284000+00:00
txr_1N6DMKFCPJnn9IgIHM5FqiWo,False,2023-05-10 13:47:12+00:00,,Sales Tax,False,Virginia,True,{},7.0,2025-08-11 00:31:23.846000+00:00
txr_1NAf33FCPJnn9IgI2ePWRrx1,False,2023-05-22 20:09:41+00:00,,Sales Tax,False,Colorado,True,{},6.7,2025-08-11 00:33:36.613000+00:00
