checkout_session_id,allowed_country_code,_fivetran_synced
cs_live_a11fF8GKOUcqSxfIUjQr1GiLgaeifmIX7Gk03O0BlGcDapp2mSuqNaJPvH,US,2024-08-14 00:41:50.727000+00:00
cs_live_a11hwesvmJ2WeWOlGksBQwxmBIuyGSuXs6ohD1UDR3UEyr7Lp2LoMv7Drb,US,2024-08-14 00:41:29.401000+00:00
cs_live_a11icLysGoRDsd8zKrAS1JLorp6O14TitcNndqB4gfiig8rAlSWIjPsid8,US,2024-08-14 00:56:55.107000+00:00
cs_live_a11iim7Lv0kFN8Tl3g29oRVhGoshLtY4WgvXEvdhbcF0wDpGgeUdKgt7gf,US,2024-08-14 00:59:44.162000+00:00
cs_live_a11j4HgzwkfRElxI1KMdihvuBqpmewU3rWw1L0nRZJ7MclyKkepEa11mPe,US,2024-08-14 00:50:00.310000+00:00
cs_live_a11j8kwDZiUm4B19xCNERdyquRbWMVHCFYjKnUJvUpRCbr6XagumljHfY2,US,2024-08-14 00:46:38.887000+00:00
cs_live_a11jDIo53yPFHjfb7NEmP9a5n4RmagSazi4W8Mkvk4yujoP27ZMc7cf1H7,US,2024-08-14 00:45:07.322000+00:00
cs_live_a11jLn2jZFremuFeJxMGGfGnHJygSZT2G60XxFxUjn6ZaUFTFH6N2o6m2Q,US,2024-08-14 00:48:20.684000+00:00
cs_live_a11kQoT6zoUQFYgwIQlRj8xChzzOv6gfKwWoywRLhr7Dy2NLpa2mqvhuwd,US,2024-08-14 00:54:33.806000+00:00
cs_live_a11kWeYKScGcc7zcEqEPT7pyN5H7fG79yYPiVtX3oTJGhkJgHpTXr48T8u,US,2024-08-14 00:43:41.014000+00:00
cs_live_a11m71f5paV7sJNqrLBHvdJqLvUgbuz7M2V0OIOzEJqafpWXGjEnBZF0rE,CA,2024-08-14 00:43:37.941000+00:00
cs_live_a11mrdKKYSVPigQVxh5XKFyf8r0489J5JXHNRK5MXLLXNxH0JQPA5f7iRZ,US,2024-08-14 00:58:20.489000+00:00
cs_live_a11oUbkYq3Iivxp8phXMQCqohgTTu6jppEkQ4urqxuI7rQy6CXa6VXEP9X,US,2024-08-14 01:00:36.505000+00:00
cs_live_a11ovOZ3xlaPrr0Ps6OdMz7xMxoCt6ImfUiQXpL7QetFqad7p9e7grX6HD,US,2024-08-14 01:00:44.586000+00:00
cs_live_a11qdyWe243hpbr4JSsjltrgOjYCpVcpxgQD1i7Aft76Ib9CCFTgzXPIFn,US,2024-08-14 01:00:20.129000+00:00
cs_live_a11rAvnFJxsr0t8z0WdxtxC8nMpUi7IkM8cV7JgywqecTR81K3YB65GS2z,US,2024-08-14 00:50:53.907000+00:00
cs_live_a11tBNwbKylpgizAXN4bCQemQnPErR5bZl4hMedH2Agp9WJm4yet0EyzhM,CA,2024-08-14 00:43:54.131000+00:00
cs_live_a11ti0hTdFaSe63SQb6gCC8oTs9IpT4DrmcDnyqnVPz55fDJ12yai9CVko,US,2024-08-14 00:57:12.936000+00:00
cs_live_a11xZXsVzSBoIjKrgGz0dp0LoBquXvyldMVm5sWtsFtfpFl9el2XRfny26,US,2024-08-14 01:00:47.359000+00:00
cs_live_a120S1M2kZt4PpFXvC9KTjybc6uMQ0mxkXislBfYZKhOh4saniyI5hOFuA,US,2024-08-14 00:50:18.427000+00:00
cs_live_a125H9uixtFHz2coyoXjpD2qyxTK6qZxILxlEphQjvEz2KT0GclK0a7p7v,US,2024-08-14 00:59:01.051000+00:00
cs_live_a12GVQg3euBv1hzD9F0yBqMDMEa1ExBH2EXfBN4sTIwF6THPkKzVoMcB2j,US,2024-08-14 00:55:09.278000+00:00
cs_live_a12Itz4JusnNpMjJ5VG8PUv08IHFVJfCfep1Debh214Y8rRRm8ywUc4la5,US,2024-08-14 00:51:13.874000+00:00
cs_live_a12JjqMR5YLxwLVKjyMcbviDs8hF2RChVQTt1I1Mbz9xNcvyV8iR86aOaQ,US,2024-08-14 01:00:22.701000+00:00
cs_live_a12KNEJrGVPjsV0KMOzCrSjBggIN89YkC4Lu8ILjhZvZeL9r2l78He3u8k,US,2024-08-14 00:52:32.981000+00:00
