asin,marketplace_id,identifier,identifier_type,_fivetran_synced
B0BKR4XZGJ,ATVPDKIKX0DER,850045195045,UPC,2023-07-06 14:33:53.528000+00:00
B0BKR3VM44,ATVPDKIKX0DER,0850045195038,EAN,2023-07-06 14:33:53.622000+00:00
B0BKRXGT52,ATVPDKIKX0DER,850045195021,UPC,2023-07-06 14:33:53.751000+00:00
B0BKR4XZGJ,ATVPDKIKX0DER,0850045195045,EAN,2023-07-06 14:33:53.528000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,0850045195014,EAN,2023-07-06 14:33:53.433000+00:00
B0BKR3VM44,ATVPDKIKX0DER,850045195038,UPC,2023-07-06 14:33:53.622000+00:00
B0BKRXGT52,ATVPDKIKX0DER,0850045195021,EAN,2023-07-06 14:33:53.751000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,850045195014,UPC,2023-07-06 14:33:53.433000+00:00
