invoice_id,unique_id,id,amount,currency,description,discountable,livemode,metadata,period_start,period_end,proration,quantity,type,plan_id,price_id,subscription_id,subscription_item_id,_fivetran_synced,invoice_item_id,unit_amount_excluding_tax,amount_excluding_tax
in_1Pk66YFCPJnn9IgItGYLzaDu,il_1Pk66YFCPJnn9IgIEICmFOkn,il_1Pk66YFCPJnn9IgIEICmFOkn,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 15:10:21+00:00,2024-09-04 15:10:21+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Jks37FCPJnn9IgITZeQ1GcL,si_Lt0HMs84ac5vNN,2024-08-14 01:47:23.505000+00:00,,,
in_1Pk6cvFCPJnn9IgI47TrwHwf,il_1Pk6cvFCPJnn9IgIwOmh5jbz,il_1Pk6cvFCPJnn9IgIwOmh5jbz,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 15:45:13+00:00,2024-09-04 15:45:13+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1PYrqPFCPJnn9IgIIefpnvJg,si_QPhEsupjAgZNbC,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk6nCFCPJnn9IgIxE4UL2TP,il_1Pk6nCFCPJnn9IgIT515vkc5,il_1Pk6nCFCPJnn9IgIT515vkc5,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 15:55:50+00:00,2024-09-04 15:55:50+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1KSNwwFCPJnn9IgI1dLlxnnd,si_L8fHGtIUF65syq,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk6oeFCPJnn9IgIeUEItUbM,il_1Pk6oeFCPJnn9IgIX9RrzWVN,il_1Pk6oeFCPJnn9IgIX9RrzWVN,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 15:57:51+00:00,2024-09-04 15:57:51+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Pk6oeFCPJnn9IgIiS5str26,si_QbJRxuoM7QDq0G,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk6toFCPJnn9IgIUWz4Womg,il_1Pk6toFCPJnn9IgIdeGbYwoG,il_1Pk6toFCPJnn9IgIdeGbYwoG,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2024-08-04 16:00:47+00:00,2025-08-04 16:00:47+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,sub_1NUAtnFCPJnn9IgIm0i9udwE,si_OGiKUgjftNc9fW,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk6yXFCPJnn9IgIvXmda3d8,il_1Pk6yXFCPJnn9IgI4Ekzs5mH,il_1Pk6yXFCPJnn9IgI4Ekzs5mH,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 16:06:31+00:00,2024-09-04 16:06:31+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1NbQWKFCPJnn9IgI9GpNaCio,si_OOCwc50r8WsYrT,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk70qFCPJnn9IgITfPHNi0M,il_1Pk70qFCPJnn9IgIiN8Gb7b9,il_1Pk70qFCPJnn9IgIiN8Gb7b9,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 16:09:40+00:00,2024-09-04 16:09:40+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1ONdxIFCPJnn9IgIcPl1pJyc,si_PC21W2sKog1SuC,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk71KFCPJnn9IgIUNkNx3dW,il_1Pk71KFCPJnn9IgIxFuBwxXd,il_1Pk71KFCPJnn9IgIxFuBwxXd,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 16:09:36+00:00,2024-09-04 16:09:36+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1LAcJAFCPJnn9IgIH8jAdc3e,si_LsN3OFwBtOl4fy,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk78ZFCPJnn9IgIg8N6fi5q,il_1Pk78ZFCPJnn9IgIiE1rqTL5,il_1Pk78ZFCPJnn9IgIiE1rqTL5,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 16:16:04+00:00,2024-09-04 16:16:04+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1NIwMaFCPJnn9IgIbDuRL65j,si_O56ZoyYaHv9Tip,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk7JLFCPJnn9IgIl3gFCxK8,il_1Pk7JLFCPJnn9IgITcxsihT5,il_1Pk7JLFCPJnn9IgITcxsihT5,499,usd,1 × Subscription (Monthly) (Tier 2 at $4.99 / month),True,True,{},2024-08-04 16:29:07+00:00,2024-09-04 16:29:07+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1LAcc3FCPJnn9IgItETbKRBc,si_LsNMK5Bgb4yDaa,2024-08-14 01:47:24.039000+00:00,,,
in_1Pk7TcFCPJnn9IgIjPKhHWI4,il_1Pk7TcFCPJnn9IgIhr77TJ1z,il_1Pk7TcFCPJnn9IgIhr77TJ1z,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 16:39:30+00:00,2024-09-04 16:39:30+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1NIwjGFCPJnn9IgIGIKheYy9,si_O56xZgDRnRmVRI,2024-08-14 01:47:24.038000+00:00,,,
in_1Pk7V3FCPJnn9IgI0cXN5WFX,il_1Pk7V4FCPJnn9IgIMWqX82ob,il_1Pk7V4FCPJnn9IgIMWqX82ob,2199,usd,Guardian Case (Blue) - Slim 6,True,True,{},2024-08-04 16:41:40+00:00,2025-08-04 16:41:40+00:00,False,1,invoiceitem,,price_1PagOiFCPJnn9IgIEJ4mbt9c,sub_1Pk7V3FCPJnn9IgI1WaMPRmk,,2024-08-14 01:47:24.038000+00:00,ii_1Pk7V3FCPJnn9IgIvajZt9ON,,
in_1Pk7V8FCPJnn9IgISjWaP7GU,il_1Pk7V8FCPJnn9IgIzQgbFVqw,il_1Pk7V8FCPJnn9IgIzQgbFVqw,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 16:39:35+00:00,2024-09-04 16:39:35+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1LAcmBFCPJnn9IgIIaQLMCL4,si_LsNXkTStMOiX3F,2024-08-14 01:47:24.038000+00:00,,,
in_1Pk7afFCPJnn9IgIWjLoab8Q,il_1Pk7afFCPJnn9IgIielKgO8m,il_1Pk7afFCPJnn9IgIielKgO8m,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 16:46:03+00:00,2024-09-04 16:46:03+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1LLreRFCPJnn9IgIphe3JJSl,si_M3zdrLX7nWl4TN,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk7eXFCPJnn9IgIDIMfbWof,il_1Pk7eYFCPJnn9IgITB2WYz0i,il_1Pk7eYFCPJnn9IgITB2WYz0i,2199,usd,Guardian Case (Red) - Slim 6,True,True,{},2024-08-04 16:51:29+00:00,2024-09-04 16:51:29+00:00,False,1,invoiceitem,,price_1PagEhFCPJnn9IgIq2P0Rmox,sub_1Pk7eXFCPJnn9IgIB4IRdQmj,,2024-08-14 01:47:24.741000+00:00,ii_1Pk7eXFCPJnn9IgIQ0h3qKc3,,
in_1Pk7eXFCPJnn9IgIDIMfbWof,il_1Pk7eXFCPJnn9IgIyFPIVUYF,il_1Pk7eXFCPJnn9IgIyFPIVUYF,1199,usd,Screen Protector - Slim 6,True,True,{},2024-08-04 16:51:29+00:00,2024-09-04 16:51:29+00:00,False,1,invoiceitem,,price_1PbGLsFCPJnn9IgIZsrGV1OD,sub_1Pk7eXFCPJnn9IgIB4IRdQmj,,2024-08-14 01:47:24.741000+00:00,ii_1Pk7eXFCPJnn9IgIPgrj4IZq,,
in_1Pk7glFCPJnn9IgIHuMlGaE2,il_1Pk7glFCPJnn9IgIFumyMd6i,il_1Pk7glFCPJnn9IgIFumyMd6i,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 16:53:47+00:00,2024-09-04 16:53:47+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Pk7glFCPJnn9IgIySfN9oPd,si_QbKL20u5sQHaI2,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk7nRFCPJnn9IgITnMrcxGw,il_1Pk7nRFCPJnn9IgIwQxnHfAN,il_1Pk7nRFCPJnn9IgIwQxnHfAN,16499,usd,1 × Subscription (Annual) (Tier 1 at $164.99 / year),True,True,{},2024-08-04 17:00:41+00:00,2025-08-04 17:00:41+00:00,False,1,subscription,price_1LAetfFCPJnn9IgIn72MHBKu,price_1LAetfFCPJnn9IgIn72MHBKu,sub_1Pk7nRFCPJnn9IgIHVeQdMBh,si_QbKScVslJ1XK5P,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk7o1FCPJnn9IgI5WqcTUdk,il_1Pk7o1FCPJnn9IgI5a5mESOA,il_1Pk7o1FCPJnn9IgI5a5mESOA,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:01:17+00:00,2024-09-04 17:01:17+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Pk7o1FCPJnn9IgI3DsW06WP,si_QbKStaYN1DhbE4,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk7pJFCPJnn9IgIUCMefymG,il_1Pk7pJFCPJnn9IgIgMM28D7M,il_1Pk7pJFCPJnn9IgIgMM28D7M,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:01:07+00:00,2024-09-04 17:01:07+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1KoW2ZFCPJnn9IgIBMo1cyvF,si_LVX6M4kI3M3fJj,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk7raFCPJnn9IgI5zkCklX4,il_1Pk7raFCPJnn9IgIrwwI9w3q,il_1Pk7raFCPJnn9IgIrwwI9w3q,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:02:45+00:00,2024-09-04 17:02:45+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1OCQ0fFCPJnn9IgIAUDCK6lU,si_P0QsSoaJDhPNaM,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk7vOFCPJnn9IgI3Xkg4Gro,il_1Pk7vOFCPJnn9IgIzhYY5qcY,il_1Pk7vOFCPJnn9IgIzhYY5qcY,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:07:15+00:00,2024-09-04 17:07:15+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1MhyYCFCPJnn9IgI5P6JPmmK,si_NSuMA7aSlAF9sq,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk7vkFCPJnn9IgIYmLKTZ8o,il_1Pk7vkFCPJnn9IgIbqXIeIMt,il_1Pk7vkFCPJnn9IgIbqXIeIMt,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:08:02+00:00,2024-09-04 17:08:02+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1P1tleFCPJnn9IgIbkOpuhnk,si_Prd1nv4XqMf03f,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk803FCPJnn9IgIaufwxJiE,il_1Pk803FCPJnn9IgIwyE23TnA,il_1Pk803FCPJnn9IgIwyE23TnA,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:12:17+00:00,2024-09-04 17:12:17+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1KEGYXFCPJnn9IgIpYK0lwUu,si_Ku4heLJkjLgsgd,2024-08-14 01:47:24.741000+00:00,,,
in_1Pk89CFCPJnn9IgI41PLSafJ,il_1Pk89CFCPJnn9IgI3xETkk1P,il_1Pk89CFCPJnn9IgI3xETkk1P,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:21:32+00:00,2024-09-04 17:21:32+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Mly12FCPJnn9IgIacVVB95x,si_NX25cuL8K6Yrus,2024-08-14 01:47:24.740000+00:00,,,
in_1Pk8GdFCPJnn9IgIr915onow,il_1Pk8GdFCPJnn9IgIe9x89BGC,il_1Pk8GdFCPJnn9IgIe9x89BGC,1499,usd,1 × Subscription (Monthly) (Tier 1 at $14.99 / month),True,True,{},2024-08-04 17:30:50+00:00,2024-09-04 17:30:50+00:00,False,1,subscription,price_1JQZCDFCPJnn9IgIFVEWlVxH,price_1JQZCDFCPJnn9IgIFVEWlVxH,sub_1Pk8GdFCPJnn9IgI3c5kqIi8,si_QbKwSkYFkYYpAl,2024-08-14 01:47:24.740000+00:00,,,
