asin,granularity_id,granularity_type,fn_sku,seller_sku,condition,fulfillable_quantity,inbound_working_quantity,inbound_shipped_quantity,inbound_receiving_quantity,total_reserved_quantity,pending_customer_order_quantity,pending_transshipment_quantity,fc_processing_quantity,total_researching_quantity,total_unfulfillable_quantity,customer_damaged_quantity,warehouse_damaged_quantity,distributor_damaged_quantity,carrier_damaged_quantity,defective_quantity,expired_quantity,last_updated_time,product_name,total_quantity,_fivetran_synced
B0BKR3VM44,ATVPDKIKX0DER,Marketplace,B0BKR3VM44,plus2-black-3mo,NewItem,,,,,,,,,,,,,,,,,2023-07-03 17:11:37+00:00,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,27,2023-07-03 20:32:38.349000+00:00
B0BKRXGT52,ATVPDKIKX0DER,Marketplace,B0BKRXGT52,slim5-blue-12mo,NewItem,,,,,,,,,,,,,,,,,2023-07-05 09:19:49+00:00,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,36,2023-07-05 14:32:13.936000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,Marketplace,B0BKR4YKB2,slim5-blue-3mo,NewItem,,,,,,,,,,,,,,,,,2023-07-06 07:21:38+00:00,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,42,2023-07-06 08:32:35.516000+00:00
B0C8KW7F1D,ATVPDKIKX0DER,Marketplace,B0C8KW7F1D,AY-7Z35-ODLK,NewItem,,,,,,,,,,,,,,,,,2023-07-06 13:26:34+00:00,Pinwheel Slim 5 (MidnightBlue),237,2023-07-06 14:32:40.868000+00:00
B0BKR4XZGJ,ATVPDKIKX0DER,Marketplace,B0BKR4XZGJ,plus2-black-12mo,NewItem,,,,,,,,,,,,,,,,,2023-07-06 07:52:56+00:00,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,38,2023-07-06 08:32:35.516000+00:00
