tax_rate_id,checkout_session_id,amount,_fivetran_synced
txr_1O7IcsFCPJnn9IgIlqvFbjc8,cs_live_b1Tlbm5x8B2Ozl5HM4xSVIUjMcbLuO3pljMKso4lRZEWtYTBn6Mumr2P7c,5526,2023-10-31 14:29:57.324000+00:00
txr_1N5tZZFCPJnn9IgI257hpdtT,cs_live_b1sQt1DKVdiZbSnX3xcXQakdzkcaIXcrHGwI9CFZf7S2Ivk8hh4x4Tx7R8,4816,2023-11-08 02:30:30.269000+00:00
txr_1N5qW7FCPJnn9IgIwo8j6hax,cs_live_b1XQHpHlw6tXa4ZPIS0JwMZGTraynZYjWGos8G8fc84iJGnmCMjz8fPWSK,1980,2023-11-21 02:30:29.028000+00:00
txr_1N5wUSFCPJnn9IgINsa8ie1E,cs_live_b1s8sJFpIKKvengM5uYlagcAG479rooQrkRGJMZI9rugtcXIYnoRyUEJZB,1734,2023-11-21 14:30:00.822000+00:00
txr_1N6ENQFCPJnn9IgImDj4kbDe,cs_live_b1OMvU7Vlg3ISzNEMgtg9g5CAuHHhoS38peLt8ZvtZPFCeBIY6bd14Dh25,2013,2023-12-02 20:32:05.891000+00:00
txr_1N6cEaFCPJnn9IgIdFY99DZX,cs_live_a1KhIZWhZM8AvMGdMwqoYTJg7a1BE1i5jrryqDkLwHGdC3WzQDLAmuhp74,3509,2023-12-14 08:31:10.585000+00:00
txr_1N5xt8FCPJnn9IgIKSs3QeBv,cs_live_b11v0kyp4dDlM95qFCnsGELwjUWfRoHKqXVekfl7Y7JWrwkXZpvUJHWhPe,9584,2023-12-20 02:30:37.154000+00:00
txr_1N5sJFFCPJnn9IgIg17aZk6g,cs_live_b1MxeARldvV4lK2VsyI1HT7W1iewvm0Z4VsPPsPjUPIi7Fa4PVCHQOKStO,0,2024-01-13 02:30:31.877000+00:00
txr_1N63zXFCPJnn9IgIM7YntHa0,cs_live_b1Lyj7Vxh2YEHLR7Zc3B9vYVPax13IGUlbwSoh2q3zXGxzpw55Lk7MsjJS,4341,2024-02-29 00:04:23.624000+00:00
txr_1N5zTMFCPJnn9IgISQBkMugR,cs_live_b1KgpSlJn8umTl5LOnX6MyrrxnBxujmAtJ073iVBIIRhywl6tWPPhZFJ9Z,600,2024-03-07 20:31:33.529000+00:00
txr_1N63zXFCPJnn9IgIM7YntHa0,cs_live_a1FEpcm0zLgX4MyaSIMyWtI8MD3wGiFWFdcRDrF74nxOJZK31PvAjauMpR,2388,2024-03-08 20:31:19.264000+00:00
txr_1N5qW7FCPJnn9IgIwo8j6hax,cs_live_a1xIAliw8JGYlXpY4RXFQb0ODu9FbtMkH97IHABXd2mksSXszBIcpgRzD8,2274,2024-03-15 02:30:30.460000+00:00
