asin,offer_type,sub_condition,seller_id,condition_notes,seller_positive_feedback_rating,feedback_count,minimum_hours,maximum_hours,available_date,availability_type,listing_price_currency_code,points_number,points_monetary_value_currency_code,shipping_currency_code,state,country,is_fulfilled_by_amazon,is_prime,is_national_prime,is_buy_box_winner,is_featured_merchant,_fivetran_synced,shipping_amount,listing_price_amount,points_monetary_value_amount
B0BKR4XZGJ,,new,A2AT8MH2OTPI8A,,100.0,2,0,0,,NOW,USD,,,USD,,,True,True,True,True,True,2023-07-06 14:32:42.335000+00:00,0.0,489.0,
B0BKR4YKB2,,new,A2AT8MH2OTPI8A,,100.0,2,0,0,,NOW,USD,,,USD,,,True,True,True,True,True,2023-07-06 14:32:41.990000+00:00,0.0,239.0,
B0BKR3VM44,,new,A2AT8MH2OTPI8A,,100.0,2,0,0,,NOW,USD,,,USD,,,True,True,True,True,True,2023-07-06 14:32:42.683000+00:00,0.0,369.0,
B0BKRXGT52,,new,A2AT8MH2OTPI8A,,100.0,2,0,0,,NOW,USD,,,USD,,,True,True,True,True,True,2023-07-06 14:33:53.193000+00:00,0.0,359.0,
