asin,marketplace_id,adult_product,autographed,brand,display_name,classification_id,color,contributors,item_classification,item_name,manufacturer,memorabilia,model_number,package_quantity,part_number,release_date,size,style,trade_in_eligible,website_display_group,website_display_group_name,_fivetran_synced
B0BKR4XZGJ,ATVPDKIKX0DER,False,False,Pinwheel,Screen Protectors,2407781011,Black,,BASE_PRODUCT,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,Pinwheel,False,,1,Galaxy A13 5G,,,12 Month Plan,False,wireless_display_on_website,Wireless,2023-07-06 14:33:53.527000+00:00
B0BKRXGT52,ATVPDKIKX0DER,False,False,Pinwheel,Screen Protectors,2407781011,Blue,,BASE_PRODUCT,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,Pinwheel,False,,1,G91S,,,12 Month Plan,False,wireless_display_on_website,Wireless,2023-07-06 14:33:53.751000+00:00
B0BKR3VM44,ATVPDKIKX0DER,False,False,Pinwheel,Screen Protectors,2407781011,Black,,BASE_PRODUCT,Pinwheel Plus 2 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,Pinwheel,False,,1,Galaxy A13 5G,,,3 Month Plan,False,wireless_display_on_website,Wireless,2023-07-06 14:33:53.622000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,False,False,Pinwheel,Screen Protectors,2407781011,Blue,,BASE_PRODUCT,Pinwheel Slim 5 Kids Smartphone (Age 8-18) with Built-in Parent Management System | 700+ Vetted App Library with Child Safety Ratings | No Social Media or Web Browser | Unlocked for Any Cell Carrier,Pinwheel,False,,1,G91S,,,3 Month Plan,False,wireless_display_on_website,Wireless,2023-07-06 14:33:53.425000+00:00
