id,amount_subtotal,amount_total,application,application_fee_amount,application_fee_percent,automatic_tax_enabled,automatic_tax_status,collection_method,computed_recurring_amount_subtotal,computed_recurring_amount_total,computed_recurring_interval,computed_recurring_interval_count,computed_recurring_total_details_amount_discount,computed_recurring_total_details_amount_shipping,computed_recurring_total_details_amount_tax,computed_upfront_amount_subtotal,computed_upfront_amount_total,computed_upfront_total_details_amount_discount,computed_upfront_total_details_amount_shipping,computed_upfront_total_details_amount_tax,created,currency,description,expires_at,footer,from_quote_is_revision,from_quote_quote,header,invoice_settings_days_until_due,invoice_settings_issuer_account,invoice_settings_issuer_type,livemode,metadata,number,on_behalf_of,status,status_transitions_accepted_at,status_transitions_canceled_at,status_transitions_finalized_at,test_clock,total_details_amount_discount,total_details_amount_shipping,total_details_amount_tax,transfer_data_amount,transfer_data_amount_percent,transfer_data_destination,customer_id,invoice_id,subscription_id,subscription_schedule_id,_fivetran_synced
qt_1JS35oFCPJnn9IgIDRG5LO9G,36399,39278,,,,True,complete,charge_automatically,1499.0,1499.0,month,1.0,0.0,0.0,114.0,36399,39278,0,0,2993,2021-08-24 17:07:20+00:00,usd,,2021-09-23 17:07:17+00:00,,,,,,,self,True,{},,,canceled,,2021-08-24 17:19:39+00:00,,,0,0,2993,,,,cus_K5s7LeYbkoPFTB,,,,2024-08-14 01:19:37.608000+00:00
qt_1JTEVUFCPJnn9IgI1VYOZb7t,17398,18833,,,,True,complete,charge_automatically,1499.0,1623.0,month,1.0,0.0,0.0,124.0,15899,17211,0,0,1312,2021-08-27 23:30:44+00:00,usd,,2021-09-26 23:30:35+00:00,,,,,,,self,True,{},,,canceled,,2021-09-26 23:30:35+00:00,,,0,0,1435,,,,cus_K4kBinjWeeBAcs,,,,2024-08-14 01:19:37.601000+00:00
qt_1KZKEQFCPJnn9IgINjo4Dhk4,11000,11000,,,,True,complete,charge_automatically,,,,,,,,11000,11000,0,0,1023,2022-03-03 19:22:34+00:00,usd,,2022-04-02 18:22:07+00:00,,,,,,,self,True,{},,,canceled,,2022-03-03 19:22:44+00:00,,,0,0,1023,,,,cus_KcvxsGDOCCZ2Uq,,,,2024-08-14 01:19:37.601000+00:00
qt_1L6HsNFCPJnn9IgI1LRAV4mU,1000,1074,,,,True,complete,charge_automatically,,,,,,,,1000,1074,0,0,74,2022-06-02 17:32:03+00:00,usd,,2022-07-02 17:31:44+00:00,,,,,,,self,True,{},,,canceled,,2022-06-02 17:32:25+00:00,,,0,0,74,,,,cus_LntRlqhcOMY0ls,,,,2024-08-14 01:19:37.590000+00:00
qt_1JS3I3FCPJnn9IgIEGOw2Bfu,16399,17628,,,,True,complete,charge_automatically,1499.0,1499.0,month,1.0,0.0,0.0,114.0,16399,17628,0,0,1343,2021-08-24 17:19:59+00:00,usd,,2021-09-23 17:19:57+00:00,,,,,,,self,True,{},,,canceled,,2021-08-24 17:20:58+00:00,,,0,0,1343,,,,cus_K5s7LeYbkoPFTB,,,,2024-08-14 01:19:37.607000+00:00
