asin,marketplace_id,link,variant,height,width,_fivetran_synced
B0BKR4XZGJ,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/415LdlnR4jL._SL75_.jpg,PT04,75,75,2023-07-06 14:33:53.528000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/415LdlnR4jL.jpg,PT05,500,500,2023-07-06 14:33:53.436000+00:00
B0BKR3VM44,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31q4c-ebMcL._SL75_.jpg,MAIN,75,75,2023-07-06 14:33:53.622000+00:00
B0BKRXGT52,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/61udL9IGrOL.jpg,PT01,1811,2560,2023-07-06 14:33:53.751000+00:00
B0BKR4XZGJ,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/61QzjivQLtL.jpg,PT01,1080,1080,2023-07-06 14:33:53.528000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31T3B+L9wML._SL75_.jpg,PT06,75,75,2023-07-06 14:33:53.437000+00:00
B0BKR3VM44,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31qkQd4x5oL.jpg,PT03,500,500,2023-07-06 14:33:53.623000+00:00
B0BKRXGT52,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31T3B+L9wML._SL75_.jpg,PT06,75,75,2023-07-06 14:33:53.752000+00:00
B0BKRXGT52,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31qkQd4x5oL.jpg,PT04,500,500,2023-07-06 14:33:53.751000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/31S2HK-N8PL._SL75_.jpg,PT01,53,75,2023-07-06 14:33:53.436000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,https://m.media-amazon.com/images/I/61LY1U-fp2L.jpg,PT02,1080,1080,2023-07-06 14:33:53.436000+00:00
