id,amount,created,currency,discount_amount,subtotal,total,livemode,memo,metadata,number,pdf,reason,status,type,voided_at,customer_balance_transaction_id,invoice_id,refund_id,_fivetran_synced,out_of_band_amount,effective_at,shipping_cost_shipping_rate,subtotal_excluding_tax,total_excluding_tax,shipping_cost_amount_tax,shipping_cost_amount_total,amount_shipping,customer_id,shipping_cost_amount_subtotal
cn_1Ko9smFCPJnn9IgIMw7mOHjj,1608,2022-04-13 17:21:32+00:00,usd,,1499,1608,True,,{},FB78259E-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9MVkFESXVveEF0Sm5xRzVFZlg1VXBEZktCalhOWWxVLDExNjcyNzEyNg02001hSi2HE7/pdf?s=ap,,issued,post_payment,,,in_1Ki9yLFCPJnn9IgIeKV9I7UX,re_3KiAvzFCPJnn9IgI1MLeqoTJ,2024-09-13 00:12:06.597000+00:00,,2022-04-13 17:21:32+00:00,,1499,1499,,,0,cus_LHTNVJUbPwfWpx,
cn_1K606yFCPJnn9IgIT538a6FM,2119,2021-12-12 22:01:40+00:00,usd,,1999,2119,True,Shipping delays.,{},B5D8F9CE-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LbFhCeHNTOE1pVzM1OUFyRFNQSUR2bkcyQkx0YThqLDExNjcyNzEyNg0200TzEBm66y/pdf?s=ap,,issued,pre_payment,,,in_1K5fUNFCPJnn9IgIusPsT7w1,,2024-09-13 00:12:06.603000+00:00,,2021-12-12 22:01:40+00:00,,1999,1999,,,0,cus_KZSs3d5X1XSsFo,
cn_1P1DjiFCPJnn9IgIyFW44hNk,500,2024-04-02 20:15:14+00:00,usd,,500,500,True,Adjustment for Bark cancellation,{},46529D6B-0022-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9QcXZhNFdiWkEzbTU3UmczSjE2clpWNzJVYURTWmVELDExNjcyNzEyNg0200yxHYorDm/pdf?s=ap,,issued,pre_payment,,,in_1P0SJ5FCPJnn9IgIMBeixIVl,,2024-09-13 00:12:06.595000+00:00,,2024-04-02 20:15:14+00:00,,500,500,,,0,cus_M2VXyIJJKBUopK,
cn_1KJOP2FCPJnn9IgIW5raRno4,2118,2022-01-18 20:35:40+00:00,usd,,1998,2118,True,,{},F2A0D20D-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9Lek45VmllMVFMcko2ZjJSdjJMREVyNFpqckFwM21tLDExNjcyNzEyNg0200DUO1lLrH/pdf?s=ap,,issued,post_payment,,,in_1KGtqYFCPJnn9IgIDabeDDgo,re_3KGunIFCPJnn9IgI0mRwBi1T,2024-09-13 00:12:06.597000+00:00,,2022-01-18 20:35:40+00:00,,1998,1998,,,0,cus_KpIvjmEYnD5rG7,
cn_1KBOhzFCPJnn9IgIT0ZW5dE1,1563,2021-12-27 19:18:11+00:00,usd,,1499,1563,True,,{},598DEB68-0005-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LcjZ2NzNZc0NzOGpSZ3NVSmRVcmVPM3l3QWVCUWhwLDExNjcyNzEyNg0200irjVf2iE/pdf?s=ap,,issued,post_payment,,,in_1K1wCbFCPJnn9IgIQZn4PuE0,re_3K1xEZFCPJnn9IgI1zhmc3Ud,2024-09-13 00:12:06.602000+00:00,,2021-12-27 19:18:11+00:00,,1499,1499,,,0,cus_IaZPGxFZJ8n0Y6,
cn_1JrmSsFCPJnn9IgIRDdXWbmZ,4280,2021-11-03 16:37:30+00:00,usd,,4000,4280,True,Delayed.,{},DFB8DEA2-0006-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LV3E5WnV4bUI1Mlg3RzFwTjFvTlV4cmkzOFpCQmRyLDExNjcyNzEyNg0200HOUXNpCM/pdf?s=ap,,issued,pre_payment,,,in_1JrmR5FCPJnn9IgI8ff9lXz7,,2024-09-13 00:12:06.603000+00:00,,2021-11-03 16:37:30+00:00,,4000,4000,,,0,cus_JfhijSsaSBLKSs,
cn_1K7jqoFCPJnn9IgIdB89RBZm,1589,2021-12-17 17:04:10+00:00,usd,,1499,1589,True,,{},A6633D17-0005-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9LbktWMUJRZ2pXbTJ1MVdpZ2J0cnZzM3BzVEJxSjZsLDExNjcyNzEyNg02009fme60kf/pdf?s=ap,,issued,pre_payment,,,in_1K1wDzFCPJnn9IgIy5ioRrbR,,2024-09-13 00:12:06.603000+00:00,,2021-12-17 17:04:10+00:00,,1499,1499,,,0,cus_Jqsk0wGc2997wK,
cn_1MAgw5FCPJnn9IgImVcF6BtC,1598,2022-12-02 21:38:21+00:00,usd,,1499,1598,True,,{},FD4A35A2-0002-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9NdVZ5eFNLaWl1WVBHWXh0dW1jRVlqTjlKRG9iN3dkLDExNjcyNzEyNg0200oKaJYVvH/pdf?s=ap,,issued,post_payment,,,in_1MAgfYFCPJnn9IgIfaJMlxrf,re_3MAgfYFCPJnn9IgI0PDgEvUJ,2024-09-13 00:12:06.596000+00:00,,2022-12-02 21:38:21+00:00,,1499,1499,,,0,cus_MuVfRrxYo5DF20,
cn_1KYylvFCPJnn9IgIQ6iE2GMe,1623,2022-03-02 20:27:43+00:00,usd,,1499,1623,True,,{},5450B907-0008-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9MRlRqREFrNkpUWlJBR085OW1oMVRBR0haa3Z4VVJ4LDExNjcyNzEyNg020052sCBb5o/pdf?s=ap,,issued,post_payment,,,in_1KYabDFCPJnn9IgIcDBmIBqi,re_3KYbmqFCPJnn9IgI0zebDeHQ,2024-09-13 00:12:06.597000+00:00,,2022-03-02 20:27:43+00:00,,1499,1499,,,0,cus_IXuo4P58PT8UE4,
cn_1Kpy7eFCPJnn9IgIZVTArVWv,3879,2022-04-18 17:12:22+00:00,usd,,3588,3879,True,Retroactive coupon application: OAPTEN,{},FCB726AF-0001-CN-01,https://pay.stripe.com/credit_notes/acct_1GXtdhFCPJnn9IgI/live_YWNjdF8xR1h0ZGhGQ1BKbm45SWdJLF9MWDJDbmQwUGZmZDdoM0FDV0N4dTZodnZZSkhOOEhnLDExNjcyNzEyNg0200kPURGsJx/pdf?s=ap,,issued,post_payment,,,in_1KpxM2FCPJnn9IgIDPgoEC3f,re_3KpxM3FCPJnn9IgI1ckAjPDH,2024-09-13 00:12:06.596000+00:00,,2022-04-18 17:12:22+00:00,,3588,3588,,,0,cus_LX1Ok4aa8g5x7x,
