ts,child_id,network_response,reason,carrier_identifier
2023-11-24 01:57:59,44266198-0e59-47f3-87f3-6c426a258f0e,ERROR,"Reason: Phone is null, OUT_OF_SERVICE, Description: Mobile network not available.",
2023-11-24 01:58:04,9d77b955-2488-4e66-84f3-29228ad27db6,ERROR,"Reason: Can't place a call while another is ringing., CANT_CALL_WHILE_RINGING, Description: Answer or decline the incoming call before making a new call.",Verizon 
2023-11-24 02:00:47,f88581e0-8f80-4b97-8b5a-60704b9ed4d5,ERROR,"Reason: 1401, MEDIA_TIMEOUT",Verizon 
2023-11-24 02:01:59,cad60700-7f8e-4321-8af0-b42701da07d4,ERROR,"Reason: Can't place a call while another is ringing., CANT_CALL_WHILE_RINGING, Description: Cannot place a call as there is an unanswered incoming call. Answer or reject the incoming call prior to placing a new call.",T-Mobile
2023-11-24 02:02:37,64dc006f-55e2-4a17-9600-3d9d5e5bea92,RESTRICTED,"Reason: ServiceState.STATE_EMERGENCY_ONLY, EMERGENCY_ONLY, Description: Your phone's not registered on a network, so you can only make emergency calls.",Verizon 
2023-11-24 02:02:44,b081255f-e912-493f-b7a6-ebdda6b0c5c9,ERROR,"Reason: 2501, ERROR_UNSPECIFIED",US  Mobile
2023-11-24 02:05:56,74110589-5c5f-475a-a44b-95f427893b76,UNKNOWN,Reason: null,Mint
2023-11-24 02:09:15,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: There's no SIM in your phone, so you can only make emergency calls.",
2023-11-24 02:09:20,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Your phone's not registered on a network, so you can only make emergency calls.",
2023-11-24 02:09:28,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Your phone's not registered on a network, so you can only make emergency calls.",Mint
2023-11-24 02:09:32,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: No cellular network available. Connect to an available Wi-Fi Network to make calls.",Mint
2023-11-24 02:09:34,700a78b0-49c4-4fb2-bec8-1f444377c452,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: No cellular network available. Connect to an available Wi-Fi Network to make calls.",Mint
2023-11-24 02:09:41,2f9f2e95-da0d-4106-9427-c2cef9d07126,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 02:10:23,0358275d-bf33-407c-aa06-eee94acb8f44,CANCELED,Reason: null,T-Mobile
2023-11-24 02:10:46,f88581e0-8f80-4b97-8b5a-60704b9ed4d5,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 02:12:06,f88581e0-8f80-4b97-8b5a-60704b9ed4d5,ERROR,"Reason: 2501, ERROR_UNSPECIFIED",Verizon 
2023-11-24 02:12:35,f88581e0-8f80-4b97-8b5a-60704b9ed4d5,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 02:12:53,f88581e0-8f80-4b97-8b5a-60704b9ed4d5,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 02:13:38,2b2f2692-ddbb-462e-9c85-bf2d0346ff68,ERROR,Reason: ERROR_UNSPECIFIED,T-Mobile
2023-11-24 02:18:24,5e53710d-7cf2-4cfb-b069-3b6b5465b37e,UNKNOWN,Reason: null,AT&T
2023-11-24 02:21:25,b00b481b-b246-4211-9d18-0e932d6ebf50,ERROR,Reason: ERROR_UNSPECIFIED,AT&T
2023-11-24 02:25:42,b00b481b-b246-4211-9d18-0e932d6ebf50,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,AT&T
2023-11-24 02:26:47,2b2f2692-ddbb-462e-9c85-bf2d0346ff68,ERROR,Reason: ERROR_UNSPECIFIED,T-Mobile
2023-11-24 02:29:37,6a1a39f5-f235-4ef4-ad7a-1397e257974f,ERROR,"Reason: CM_SER_UNAVAILABLE, ERROR_UNSPECIFIED",T-Mobile
2023-11-24 02:30:07,6a1a39f5-f235-4ef4-ad7a-1397e257974f,ERROR,"Reason: CM_SER_UNAVAILABLE, ERROR_UNSPECIFIED",T-Mobile
2023-11-24 02:30:38,b9e3473a-40d9-4eb8-be33-eb97c370abee,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,Verizon 
2023-11-24 02:36:46,2a548cf9-8787-4598-bda5-72cafe01fb9a,ERROR,"Reason: 1401, MEDIA_TIMEOUT",T-Mobile
2023-11-24 02:38:37,2b2f2692-ddbb-462e-9c85-bf2d0346ff68,ERROR,"Reason: 65535, ERROR_UNSPECIFIED",T-Mobile
2023-11-24 02:39:46,ade3eb9c-c1d3-4f51-a1bd-464c2bb9e458,RESTRICTED,"Reason: ServiceState.STATE_EMERGENCY_ONLY, EMERGENCY_ONLY, Description: Your phone's not registered on a network, so you can only make emergency calls.",AT&T
2023-11-24 02:39:47,ade3eb9c-c1d3-4f51-a1bd-464c2bb9e458,RESTRICTED,"Reason: ServiceState.STATE_EMERGENCY_ONLY, EMERGENCY_ONLY, Description: Your phone's not registered on a network, so you can only make emergency calls.",AT&T
2023-11-24 02:40:35,e531b3a7-131e-4690-a6c1-e2c6c3740b28,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,T-Mobile
2023-11-24 02:45:42,e71ef6cc-27d2-4135-b3a5-ea0d1640a4bd,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 02:47:26,e71ef6cc-27d2-4135-b3a5-ea0d1640a4bd,ERROR,"Reason: 1601, ERROR_UNSPECIFIED",Verizon 
2023-11-24 02:49:52,4a9b59de-1fb5-4b0e-967c-fe99af95a20d,ERROR,"Reason: CM_SER_UNAVAILABLE, ERROR_UNSPECIFIED",Smart Communications
2023-11-24 02:51:01,218572d7-5f5b-4b84-bcf6-7da2c8eff003,ERROR,Reason: ERROR_UNSPECIFIED,Mint
2023-11-24 02:54:58,2a548cf9-8787-4598-bda5-72cafe01fb9a,ERROR,"Reason: 1401, MEDIA_TIMEOUT",T-Mobile
2023-11-24 03:01:28,8bccd2ba-0dc4-402f-8c6b-a46a2ebbdcac,ERROR,"Reason: Can't place a call while another is ringing., CANT_CALL_WHILE_RINGING, Description: Answer or decline the incoming call before making a new call.",Verizon 
2023-11-24 03:09:05,d9b6d548-f582-41a2-b68e-5a240985581d,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,T-Mobile
2023-11-24 03:14:27,9fb5578e-98da-4c3c-a50b-affe77068826,OTHER,"Reason: Call ended during conference merge process., IMS_MERGED_SUCCESSFULLY",T-Mobile
2023-11-24 03:15:56,cbc4ed12-05ed-4ec3-ab9e-9709c9ee0846,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
2023-11-24 03:16:14,cbc4ed12-05ed-4ec3-ab9e-9709c9ee0846,ERROR,Reason: ERROR_UNSPECIFIED,T-Mobile
2023-11-24 03:17:56,08e04250-6f63-4c2d-92b3-12289c93ec07,ERROR,"Reason: Can't place a call while another is ringing., CANT_CALL_WHILE_RINGING, Description: Answer or decline the incoming call before making a new call.",Verizon 
2023-11-24 03:24:47,d0f9ce78-e81d-479a-934e-173330ae5dda,OTHER,Reason: IMS_MERGED_SUCCESSFULLY,T-Mobile
2023-11-24 03:25:47,dd1a4d3f-ba7a-4bf9-87f3-5fe6bfee5122,ERROR,"Reason: Another outgoing call is already being dialed., ALREADY_DIALING, Description: Cannot place a call as another outgoing call is already dialing.",T-Mobile
2023-11-24 03:26:33,faa32fb5-9f12-40b3-a0cf-3da5c56c44d2,ERROR,"Reason: ServiceState.STATE_OUT_OF_SERVICE, OUT_OF_SERVICE, Description: Mobile network is not available. Connect to a wireless network to make a call.",T-Mobile
