asin,marketplace_id,item_height_unit,item_height_value,item_length_unit,item_length_value,item_weight_unit,item_weight_value,item_width_unit,item_width_value,package_height_unit,package_height_value,package_length_unit,package_length_value,package_weight_unit,package_weight_value,package_width_unit,package_width_value,_fivetran_synced
B0BKR3VM44,ATVPDKIKX0DER,inches,0,inches,6,,,inches,3,inches,4,inches,10,pounds,1,inches,8,2023-07-06 14:33:53.622000+00:00
B0BKRXGT52,ATVPDKIKX0DER,inches,0,inches,6,,,inches,3,inches,4,inches,10,pounds,1,inches,8,2023-07-06 14:33:53.751000+00:00
B0BKR4YKB2,ATVPDKIKX0DER,inches,0,inches,6,,,inches,3,inches,4,inches,10,pounds,1,inches,8,2023-07-06 14:33:53.431000+00:00
B0BKR4XZGJ,ATVPDKIKX0DER,inches,0,inches,6,,,inches,3,inches,4,inches,10,pounds,1,inches,8,2023-07-06 14:33:53.528000+00:00
